reviewer,stars,title,review,date,country
Kindle Customer,5,You get what you work for... but how much you get often boils down to luck.,"You get what you work for... but how much you get often boils down to luck.. Quite a brilliant examination of success, and in particular the effects of good luck on the rewards from hard work and talent.  Gladwell's work neatly illustrates fallacies right and left.  I can personally attest to many of the observations Gladwell makes, on both the upside and downside.  And anyway, he starts with a hockey game.  What's not to like?",2017-06-05,Canadá
Dan A,3,False attribution to the success of Outliers,"False attribution to the success of Outliers. Very good, although what lacks substantially here is how each outlier benefited more from luck than the ""10 000"" hour rule. By luck, I mean it more in the Japanese sense of the intersection of insight and opportunity. There are thousands of skilled athletes and programmers than can put in 20, 000 hours and will never become GOATs. So manage your expectations accordingly.",2017-11-21,Canadá
Spirited77,4,A Classic from an Original Thinker,"A Classic from an Original Thinker. A master of his craft, Gladwell is a genius - he looks at things so differently to us mere mortals. Surprising he has not won more accolades, but then genius is an undervalued trait in our society these days",2016-04-23,Reino Unido
"Malky McEwan, Author of eye-opening and hilarious police books.",5,"Binge or savour - worth reading, twice.","Binge or savour - worth reading, twice.. I suppose the King of Entrepreneurs is an outlier too:",2016-06-02,Reino Unido
Margaret Adams,1,One Star,One Star. I'm finding this book tedious.,2016-10-19,Reino Unido
Amazon Customer,5,Five Stars,Five Stars. Arrived quickly with no issues,2017-03-16,Canadá
Patrick Sullivan,4,Some Great Insights,"Some Great Insights. I was a big fan of Galdwell`s first two books, the Tipping Point, and Blink.",2008-11-26,Canadá
N KELLY,5,Great book that gives clarity into why some people are ...,Great book that gives clarity into why some people are .... Great book that gives clarity into why some people are successful in life.,2014-12-19,Reino Unido
Amazon Customer,4,Where are the women?????????????,"Where are the women?????????????. Overall, I liked this book - its a very interesting read for sure, however, it seems very simplified at points to the extent that you might as well say success depends on whether the Universe is with you or against you. That idea and attitude is ridiculous - the Universe is neither for or against you. Success in life depends largely on internal factors, not how or where you grew up, whether or not you were poor, when your birthday is, or who your parents are. These things may help but they will not determine how far you will go in life - success is when preparation meets opportunity, which is true for all the examples in the book.  On that note, the examples in the book are all MEN. As a successful, educated woman, this is offensive given this book was written in 2008 and not 1950. WHERE ARE THE WOMEN??!!  There are plenty of examples today so leaving out half the population is unacceptable. Leaving out half of the population also makes it easy to justify your argument!",2017-03-21,Canadá
Olivia Filicetti,5,Overall I enjoyed reading Outliers and I would definitely recommend it to ...,Overall I enjoyed reading Outliers and I would definitely recommend it to .... Have you ever wondered why some people prevail and live remarkably successful lives while others fail to reach their full potential?,2016-11-29,Estados Unidos
Joshua Leeger,5,Great book,Great book. This book changed the way I look at things. Gladwell breaks success down into a few components:,2016-02-29,Estados Unidos
Joseph Boenzi,5,"Human connectivity, interrelationships are key to meaningful lives","Human connectivity, interrelationships are key to meaningful lives. One of my past pupils recommended that I read this study in June 2018. I picked it up from Amazon and began to read it on a journey to San Antonio, and completed it on the return trip to Berkeley.",2018-08-10,Estados Unidos
Tiffanny NN,3,OK Read/ AWESOME Message of Hope,"OK Read/ AWESOME Message of Hope. I received the book in the mail yesterday, and I'm almost done. It's a very easy read.  The author proves, through a series of logical examples, that those that our society deem ""the great ones"", have more to do with a series of lucky breaks meeting preparation than some innate ability.  That being said, the book gave me hope.  It is definitely NOT written in a hopeful or inspirational tone.  Its redundant points are presented very logically and matter-of-fact (other reviewers say ""boring"").  Potato/po-tah-to... Example after example....after example, the pattern that emerged for me was destiny is real, that even as early as our birth, the universe is conspiring to lead us in the direction of our purpose.  We each have a series of ""lucky"" breaks as well as unfortunate events that are directing our paths. We can chose to lean in and pursue or be crushed by the redirection.  Once I shifted my focus, the authors examples were exciting and eye-opening.  As I said, I've not yet completed the book.  Gladwell may very well bring it together in this way by the end (fingers crossed), but regardless, reading it from that aspect makes it much more of a page turner.",2017-11-09,Estados Unidos
Amazon Customer,1,Grossly overrated,"Grossly overrated. I read the entire thing just to make sure I knew exactly how unfulfilling it truly was. There were maybe a few pages worth keeping in mind. The moral of the author's entire point is......sometimes people achieve success because of things that happened to them in life. Literally, go take the bus and have a conversation with any stranger and you'll find that to be more rewarding of an experience. I can't believe it has such an astounding reputation. I'm sorry for being harsh but there a better ways to spend your time than this reading book.",2020-06-13,Estados Unidos
Tony R.,5,The Insights of Outliers,"The Insights of Outliers. There are many books on the market that dissect success. They often talk about perseverance, determination, creativity, and hard work. What Malcolm Gladwell has done in 'Outliers' is take a deep dive into the rarely examined factors that give an edge to one set of gifted individuals over a similarly gifted set. Sometimes the factors are beyond the control of people, such as a team of hockey players who were born within a set few months of the year versus those athletes born in other months. Or the creative types who practice their art a minimum of 10,000 hours versus those who practice less. Each chapter is an eye-opener and sheds a bright light on what makes someone a success and someone else, with similar skills, less of a success. Gladwell's style is a journalistic matter of fact tone which will keep you reading while clearly understanding the points being made. This book does a fine job of investigating each surprising case study without lecturing or making the material too complicated to understand. For anyone who has ever wondered why maybe they or their child or spouse didn't succeed where someone else who was no smarter or more gifted did succeed, this book might offer a clue. It's a must have. Highly recommended.",2018-09-26,Estados Unidos
Vivman,5,Behavioral psychology meets Freakonimics! Get this book!,Behavioral psychology meets Freakonimics! Get this book!. Do yourself a favor. Get this book. Read it and share its lessons with your children.,2018-12-27,Estados Unidos
cherirn7,5,Interesting Book,"Interesting Book. Outliers, by Malcolm Gladwell gives the stories of men and women who",2017-09-28,Estados Unidos
Michael M.,1,Fact Check?,"Fact Check?. Initially I enjoyed this book, until I realized that many of the conclusions that Gladwell came to were wrong.",2015-01-18,Estados Unidos
J. Erlich,4,Well written and provocative but a bit myopic,"Well written and provocative but a bit myopic. Interesting stories and statistics about how ""life is not fair"".",2015-05-14,Estados Unidos
Sonny Laskin,5,You'll Never View Success the Same Ever Again!,"You'll Never View Success the Same Ever Again!. Malcolm Gladwell's writing is simple and easy to comprehend but yet has such deep profound insights.  His books like Outliers take modern issues and he finds very simple solutions to them that were there just staring right at your face.  When Malcolm points out these solutions, you just hit your head and say why didn't I think of that?",2017-09-09,Estados Unidos
